satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department_RandD,Department_accounting,Department_hr,Department_management,Department_marketing,Department_product_mng,Department_sales,Department_support,Department_technical,salary_low,salary_medium,satisfaction_level_sq,avg_hours_x_salary_low,avg_hours_x_salary_medium,time_spend_x_salary_low,time_spend_x_salary_medium,num_project_x_salary_low,num_project_x_salary_medium
0.09,0.62,6,294,4,0,1,0,False,True,False,False,False,False,False,False,False,True,False,0.0081,294,0,4,0,6,0
0.45,0.57,2,134,3,0,1,0,False,False,True,False,False,False,False,False,False,True,False,0.2025,134,0,3,0,2,0
0.4,0.51,2,145,3,0,1,0,False,False,True,False,False,False,False,False,False,True,False,0.16000000000000003,145,0,3,0,2,0
0.45,0.55,2,140,3,0,1,0,False,False,True,False,False,False,False,False,False,True,False,0.2025,140,0,3,0,2,0
0.84,0.87,4,246,6,0,1,0,False,False,True,False,False,False,False,False,False,True,False,0.7055999999999999,246,0,6,0,4,0
0.1,0.94,6,255,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.010000000000000002,255,0,4,0,6,0
0.38,0.46,2,137,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.1444,137,0,3,0,2,0
0.45,0.5,2,126,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.2025,126,0,3,0,2,0
0.11,0.89,6,306,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0121,306,0,4,0,6,0
0.41,0.54,2,152,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.16809999999999997,152,0,3,0,2,0
0.87,0.88,5,269,5,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.7569,269,0,5,0,5,0
0.45,0.48,2,158,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.2025,158,0,3,0,2,0
0.4,0.46,2,127,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.16000000000000003,127,0,3,0,2,0
0.1,0.8,7,281,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.010000000000000002,281,0,4,0,7,0
0.09,0.89,6,276,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0081,276,0,4,0,6,0
0.84,0.74,3,182,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.7055999999999999,182,0,4,0,3,0
0.4,0.55,2,147,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.16000000000000003,147,0,3,0,2,0
0.57,0.7,3,273,6,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.32489999999999997,273,0,6,0,3,0
0.4,0.54,2,148,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.16000000000000003,148,0,3,0,2,0
0.43,0.47,2,147,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.18489999999999998,147,0,3,0,2,0
0.13,0.78,6,152,2,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.016900000000000002,152,0,2,0,6,0
0.44,0.55,2,135,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1936,135,0,3,0,2,0
0.38,0.55,2,134,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1444,134,0,3,0,2,0
0.39,0.54,2,132,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1521,132,0,3,0,2,0
0.1,0.92,7,307,4,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.010000000000000002,307,0,4,0,7,0
0.37,0.46,2,140,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1369,140,0,3,0,2,0
0.11,0.94,7,255,4,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.0121,255,0,4,0,7,0
0.1,0.81,6,309,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.010000000000000002,309,0,4,0,6,0
0.38,0.54,2,128,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.1444,128,0,3,0,2,0
0.85,1.0,4,225,5,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.7224999999999999,225,0,5,0,4,0
0.85,0.91,5,226,5,0,1,0,False,False,False,True,False,False,False,False,False,False,True,0.7224999999999999,0,226,0,5,0,5
0.11,0.93,7,308,4,0,1,0,False,False,False,False,False,False,False,False,False,False,True,0.0121,0,308,0,4,0,7
0.1,0.95,6,244,5,0,1,0,False,False,False,False,False,False,False,False,False,False,True,0.010000000000000002,0,244,0,5,0,6
0.36,0.56,2,132,3,0,1,0,False,False,False,False,False,False,False,False,False,False,True,0.1296,0,132,0,3,0,2
0.11,0.94,6,286,4,0,1,0,False,False,False,False,False,False,False,False,False,False,True,0.0121,0,286,0,4,0,6
0.81,0.7,6,161,4,0,1,0,False,False,False,False,False,False,False,False,False,False,True,0.6561000000000001,0,161,0,4,0,6
0.43,0.54,2,153,3,0,1,0,False,False,False,False,False,True,False,False,False,False,True,0.18489999999999998,0,153,0,3,0,2
0.9,0.98,4,264,6,0,1,0,False,False,False,False,False,True,False,False,False,False,True,0.81,0,264,0,6,0,4
0.76,0.86,5,223,5,1,1,0,False,False,False,False,False,True,False,False,False,False,True,0.5776,0,223,0,5,0,5
0.43,0.5,2,135,3,0,1,0,False,False,False,False,False,True,False,False,False,False,True,0.18489999999999998,0,135,0,3,0,2
0.74,0.99,2,277,3,0,1,0,False,False,False,False,False,False,False,False,False,False,True,0.5476,0,277,0,3,0,2
0.09,0.77,5,275,4,0,1,0,False,False,False,False,False,True,False,False,False,False,True,0.0081,0,275,0,4,0,5
0.45,0.49,2,149,3,0,1,0,False,False,False,False,False,True,False,False,False,False,False,0.2025,0,0,0,0,0,0
0.09,0.87,7,295,4,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.0081,295,0,4,0,7,0
0.11,0.97,6,277,4,0,1,0,False,False,False,False,False,True,False,False,False,False,True,0.0121,0,277,0,4,0,6
0.11,0.79,7,306,4,0,1,0,False,False,False,False,False,True,False,False,False,False,True,0.0121,0,306,0,4,0,7
0.1,0.83,6,295,4,0,1,0,False,False,False,False,False,True,False,False,False,False,True,0.010000000000000002,0,295,0,4,0,6
0.4,0.54,2,137,3,0,1,0,False,False,False,False,True,False,False,False,False,False,True,0.16000000000000003,0,137,0,3,0,2
0.43,0.56,2,157,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.18489999999999998,157,0,3,0,2,0
0.39,0.56,2,142,3,0,1,0,False,True,False,False,False,False,False,False,False,True,False,0.1521,142,0,3,0,2,0
0.45,0.54,2,140,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.2025,140,0,3,0,2,0
0.38,0.49,2,151,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.1444,151,0,3,0,2,0
0.79,0.59,4,139,3,0,1,1,False,False,False,True,False,False,False,False,False,True,False,0.6241000000000001,139,0,3,0,4,0
0.84,0.85,4,249,6,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.7055999999999999,249,0,6,0,4,0
0.11,0.77,6,291,4,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.0121,291,0,4,0,6,0
0.11,0.87,6,305,4,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.0121,305,0,4,0,6,0
0.17,0.84,5,232,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.028900000000000006,232,0,3,0,5,0
0.44,0.45,2,132,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1936,132,0,3,0,2,0
0.37,0.57,2,130,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1369,130,0,3,0,2,0
0.1,0.79,6,291,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.010000000000000002,291,0,4,0,6,0
0.4,0.5,2,130,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.16000000000000003,130,0,3,0,2,0
0.89,1.0,5,246,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.7921,246,0,5,0,5,0
0.42,0.48,2,143,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.17639999999999997,143,0,3,0,2,0
0.46,0.55,2,129,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.2116,129,0,3,0,2,0
0.09,0.83,6,255,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0081,255,0,4,0,6,0
0.37,0.51,2,155,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1369,155,0,3,0,2,0
0.1,0.77,6,265,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.010000000000000002,265,0,4,0,6,0
0.1,0.84,6,279,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.010000000000000002,279,0,4,0,6,0
0.11,0.97,6,284,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0121,284,0,4,0,6,0
0.9,1.0,5,221,6,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.81,0,221,0,6,0,5
0.38,0.52,2,154,3,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.1444,0,154,0,3,0,2
0.36,0.52,2,147,3,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.1296,0,147,0,3,0,2
0.42,0.46,2,150,3,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.17639999999999997,0,150,0,3,0,2
0.09,0.94,7,267,4,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.0081,0,267,0,4,0,7
0.43,0.52,2,158,3,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.18489999999999998,0,158,0,3,0,2
0.24,0.46,7,224,5,0,1,0,False,True,False,False,False,False,False,False,False,False,True,0.0576,0,224,0,5,0,7
0.91,1.0,4,257,5,0,1,0,False,True,False,False,False,False,False,False,False,False,True,0.8281000000000001,0,257,0,5,0,4
0.44,0.5,2,148,3,0,1,0,False,True,False,False,False,False,False,False,False,False,True,0.1936,0,148,0,3,0,2
0.71,0.87,3,177,4,0,1,0,False,False,True,False,False,False,False,False,False,False,True,0.5041,0,177,0,4,0,3
0.4,0.49,2,155,3,0,1,0,False,False,True,False,False,False,False,False,False,False,True,0.16000000000000003,0,155,0,3,0,2
0.43,0.47,2,144,3,0,1,0,False,False,True,False,False,False,False,False,False,False,True,0.18489999999999998,0,144,0,3,0,2
0.09,0.85,6,289,4,0,1,0,False,False,True,False,False,False,False,False,False,False,False,0.0081,0,0,0,0,0,0
0.43,0.52,2,160,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.18489999999999998,160,0,3,0,2,0
0.9,0.96,4,258,5,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.81,0,258,0,5,0,4
0.84,1.0,5,234,5,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.7055999999999999,0,234,0,5,0,5
0.37,0.48,2,137,3,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.1369,0,137,0,3,0,2
0.86,0.68,5,263,2,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.7395999999999999,0,263,0,2,0,5
0.11,0.84,6,251,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0121,251,0,4,0,6,0
0.37,0.57,2,133,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.1369,133,0,3,0,2,0
0.4,0.46,2,132,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.16000000000000003,132,0,3,0,2,0
0.14,0.62,4,158,4,1,1,0,False,False,False,False,False,False,False,False,True,True,False,0.019600000000000003,158,0,4,0,4,0
0.4,0.46,2,135,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.16000000000000003,135,0,3,0,2,0
0.75,1.0,4,216,6,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.5625,216,0,6,0,4,0
0.11,0.84,6,300,5,1,1,0,False,False,False,False,False,False,False,True,False,True,False,0.0121,300,0,5,0,6,0
0.46,0.49,2,138,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.2116,138,0,3,0,2,0
0.11,0.92,6,260,4,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.0121,260,0,4,0,6,0
0.38,0.49,2,132,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1444,132,0,3,0,2,0
0.7,0.89,3,183,5,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.48999999999999994,183,0,5,0,3,0
0.09,0.82,6,250,4,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.0081,250,0,4,0,6,0
0.37,0.45,2,151,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1369,151,0,3,0,2,0
0.1,0.83,6,292,4,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.010000000000000002,292,0,4,0,6,0
0.38,0.57,2,140,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1444,140,0,3,0,2,0
0.9,1.0,5,221,5,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.81,221,0,5,0,5,0
0.44,0.51,2,138,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1936,138,0,3,0,2,0
0.36,0.5,2,132,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.1296,132,0,3,0,2,0
0.31,0.84,7,133,5,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0961,133,0,5,0,7,0
0.1,0.84,6,283,4,1,1,0,False,False,False,False,False,False,False,False,True,True,False,0.010000000000000002,283,0,4,0,6,0
0.42,0.48,2,129,3,0,1,0,False,False,False,True,False,False,False,False,False,True,False,0.17639999999999997,129,0,3,0,2,0
0.74,1.0,4,249,5,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.5476,249,0,5,0,4,0
0.73,0.87,5,257,5,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.5328999999999999,257,0,5,0,5,0
0.09,0.96,6,245,4,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.0081,245,0,4,0,6,0
0.45,0.53,2,155,3,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.2025,155,0,3,0,2,0
0.11,0.8,6,256,4,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.0121,256,0,4,0,6,0
0.37,0.47,2,152,3,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.1369,152,0,3,0,2,0
0.84,0.99,4,267,5,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.7055999999999999,267,0,5,0,4,0
0.41,0.46,2,151,3,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.16809999999999997,151,0,3,0,2,0
0.76,0.92,4,239,5,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.5776,239,0,5,0,4,0
0.11,0.87,6,306,4,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.0121,306,0,4,0,6,0
0.84,0.88,4,263,5,1,1,0,False,False,False,False,True,False,False,False,False,True,False,0.7055999999999999,263,0,5,0,4,0
0.39,0.5,2,147,3,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.1521,147,0,3,0,2,0
0.11,0.91,6,278,4,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.0121,278,0,4,0,6,0
0.45,0.56,2,154,3,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.2025,154,0,3,0,2,0
0.37,0.52,2,143,3,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.1369,143,0,3,0,2,0
0.4,0.52,2,155,3,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.16000000000000003,155,0,3,0,2,0
0.39,0.48,2,160,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1521,160,0,3,0,2,0
0.11,0.8,6,304,4,0,1,0,False,True,False,False,False,False,False,False,False,True,False,0.0121,304,0,4,0,6,0
0.83,1.0,5,240,5,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.6889,240,0,5,0,5,0
0.11,0.92,6,305,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0121,305,0,4,0,6,0
0.39,0.5,2,136,3,0,1,0,False,False,False,True,False,False,False,False,False,True,False,0.1521,136,0,3,0,2,0
0.45,0.45,2,132,3,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.2025,132,0,3,0,2,0
0.1,0.95,7,301,4,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.010000000000000002,301,0,4,0,7,0
0.9,0.98,5,243,6,0,1,0,False,False,False,False,True,False,False,False,False,True,False,0.81,243,0,6,0,5,0
0.45,0.51,2,147,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.2025,147,0,3,0,2,0
0.79,0.89,5,239,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.6241000000000001,239,0,5,0,5,0
0.9,0.99,5,260,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.81,260,0,5,0,5,0
0.11,0.84,7,296,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0121,296,0,4,0,7,0
0.43,0.55,2,129,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.18489999999999998,129,0,3,0,2,0
0.31,0.54,5,132,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0961,132,0,5,0,5,0
0.32,0.5,2,135,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.1024,135,0,5,0,2,0
0.45,0.57,2,158,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.2025,158,0,3,0,2,0
0.81,0.99,4,259,5,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.6561000000000001,259,0,5,0,4,0
0.41,0.46,2,160,3,0,1,1,False,False,False,False,False,False,True,False,False,True,False,0.16809999999999997,160,0,3,0,2,0
0.11,0.78,7,278,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.0121,278,0,4,0,7,0
0.1,0.88,6,284,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.010000000000000002,284,0,4,0,6,0
0.7,0.53,2,274,4,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.48999999999999994,274,0,4,0,2,0
0.54,0.74,4,164,2,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.2916,164,0,2,0,4,0
0.41,0.48,2,148,3,0,1,0,False,False,False,False,False,False,True,False,False,True,False,0.16809999999999997,148,0,3,0,2,0
0.38,0.5,2,140,3,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.1444,0,140,0,3,0,2
0.37,0.51,2,127,3,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.1369,0,127,0,3,0,2
0.11,0.85,6,308,5,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.0121,0,308,0,5,0,6
0.4,0.47,2,146,3,0,1,0,False,False,False,False,False,False,True,False,False,False,True,0.16000000000000003,0,146,0,3,0,2
0.1,0.84,6,261,4,0,1,0,False,True,False,False,False,False,False,False,False,False,True,0.010000000000000002,0,261,0,4,0,6
0.89,0.99,5,257,5,0,1,0,False,True,False,False,False,False,False,False,False,False,True,0.7921,0,257,0,5,0,5
0.11,0.8,6,285,4,0,1,0,False,True,False,False,False,False,False,False,False,False,True,0.0121,0,285,0,4,0,6
0.36,0.55,2,141,3,0,1,0,False,False,True,False,False,False,False,False,False,False,True,0.1296,0,141,0,3,0,2
0.4,0.46,2,127,3,0,1,0,False,False,True,False,False,False,False,False,False,False,True,0.16000000000000003,0,127,0,3,0,2
0.09,0.85,6,297,4,0,1,0,False,False,True,False,False,False,False,False,False,False,True,0.0081,0,297,0,4,0,6
0.4,0.46,2,143,3,0,1,0,False,False,True,False,False,False,False,False,False,False,True,0.16000000000000003,0,143,0,3,0,2
0.37,0.55,2,152,3,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.1369,0,152,0,3,0,2
0.44,0.51,2,156,3,0,1,0,False,False,False,False,False,False,False,False,True,False,False,0.1936,0,0,0,0,0,0
0.09,0.8,7,283,5,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0081,283,0,5,0,7,0
0.92,0.87,4,226,6,1,1,0,False,False,False,False,False,False,False,False,True,False,True,0.8464,0,226,0,6,0,4
0.74,0.91,4,232,5,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.5476,0,232,0,5,0,4
0.09,0.82,6,249,4,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.0081,0,249,0,4,0,6
0.89,0.95,4,275,5,0,1,0,False,False,False,False,False,False,False,False,True,False,True,0.7921,0,275,0,5,0,4
0.09,0.8,6,304,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0081,304,0,4,0,6,0
0.27,0.54,7,278,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.0729,278,0,3,0,7,0
0.1,0.91,6,287,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.010000000000000002,287,0,4,0,6,0
0.1,0.89,7,285,4,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.010000000000000002,285,0,4,0,7,0
0.77,0.94,5,226,6,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.5929,226,0,6,0,5,0
0.9,0.82,5,259,5,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.81,259,0,5,0,5,0
0.39,0.5,2,135,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1521,135,0,3,0,2,0
0.76,1.0,5,219,5,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.5776,219,0,5,0,5,0
0.1,0.93,6,256,4,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.010000000000000002,256,0,4,0,6,0
0.87,0.9,5,254,6,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.7569,254,0,6,0,5,0
0.38,0.5,2,153,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1444,153,0,3,0,2,0
0.77,0.99,5,228,5,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.5929,228,0,5,0,5,0
0.78,0.87,4,228,5,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.6084,228,0,5,0,4,0
0.44,0.5,2,128,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1936,128,0,3,0,2,0
0.38,0.52,2,153,3,0,1,0,False,False,False,False,False,False,False,True,False,True,False,0.1444,153,0,3,0,2,0
0.43,0.46,2,156,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.18489999999999998,156,0,3,0,2,0
0.39,0.5,4,294,3,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.1521,294,0,3,0,4,0
0.88,1.0,5,219,5,0,1,0,False,False,False,False,False,False,False,False,True,True,False,0.7744,219,0,5,0,5,0
0.45,0.46,2,153,3,0,1,0,False,False,False,True,False,False,False,False,False,True,False,0.2025,153,0,3,0,2,0
0.4,0.53,2,151,3,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.16000000000000003,151,0,3,0,2,0
0.36,0.51,2,155,3,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.1296,155,0,3,0,2,0
0.36,0.48,2,158,3,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.1296,158,0,3,0,2,0
0.9,0.98,5,245,5,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.81,245,0,5,0,5,0
0.43,0.53,2,131,3,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.18489999999999998,131,0,3,0,2,0
0.89,0.87,5,225,5,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.7921,225,0,5,0,5,0
0.1,0.84,6,286,4,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.010000000000000002,286,0,4,0,6,0
0.37,0.5,2,135,3,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.1369,135,0,3,0,2,0
0.37,0.51,2,153,3,0,1,0,False,False,False,False,False,True,False,False,False,True,False,0.1369,153,0,3,0,2,0
0.87,0.9,5,252,5,0,1,0,False,False,False,False,False,False,False,False,False,True,False,0.7569,252,0,5,0,5,0
